,MNB Accuracy,MNB Accuracy,MNB Accuracy,SVC Accuracy,SVC Accuracy,SVC Accuracy,KNN Accuracy,KNN Accuracy,KNN Accuracy,RFC Accuracy,RFC Accuracy,RFC Accuracy,XGB Accuracy,XGB Accuracy,XGB Accuracy
,Train,Test,Cross Validation,Train,Test,Cross Validation,Train,Test,Cross Validation,Train,Test,Cross Validation,Train,Test,Cross Validation
Classification,75.93%,64.29%,76.00%,77.78%,64.29%,76.00%,77.78%,67.86%,76.91%,100.00%,71.43%,71.36%,100.00%,71.43%,76.82%
