,MNB Accuracy,MNB Accuracy,MNB Accuracy,SVC Accuracy,SVC Accuracy,SVC Accuracy,KNN Accuracy,KNN Accuracy,KNN Accuracy,RFC Accuracy,RFC Accuracy,RFC Accuracy,XGB Accuracy,XGB Accuracy,XGB Accuracy
,Train,Validate,Test,Train,Validate,Test,Train,Validate,Test,Train,Validate,Test,Train,Validate,Test
Basic Vectorisation,96.18%,91.54%,74.34%,98.95%,91.72%,64.91%,64.55%,46.54%,54.72%,99.23%,92.08%,52.83%,91.04%,90.50%,73.21%
Word Embedding,20.96%,20.99%,64.15%,85.36%,85.34%,86.04%,88.25%,82.51%,64.15%,98.70%,84.90%,78.87%,98.25%,86.04%,83.40%
